timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,load,ram_usage,warning
32348819218,17.2364,17.237854,18.4884,18.754839,2627.7827,0,1.1571429,0.7109407,0.8572594,3
32349322178,17.3594,17.285147,18.3892,18.512014,2630.341,0,1.1571429,0.7109407,0.8572594,3
32349813146,17.1626,17.275253,19.021599,18.570488,2632.8738,0,1.1571429,0.70540726,0.85515225,3
32350324404,16.8838,17.284578,18.736399,18.655111,2635.5322,0,1.1571429,0.70540726,0.85515225,3
32350827383,16.9002,17.191975,19.5548,19.074902,2638.2312,0,1.1571429,0.7151742,0.85515225,3
32351329921,16.8346,17.152851,18.7488,19.304644,2640.9546,0,1.1571429,0.7151742,0.85515225,3
32351833193,16.7034,17.173502,18.7612,19.160645,2643.6187,0,1.1571429,0.7109537,0.85542417,3
32352324781,17.3184,17.120453,19.3068,19.35754,2646.2795,0,1.1571429,0.7109537,0.85542417,3
32352827494,17.507,17.248713,17.930399,18.761118,2648.8496,0,1.1571429,0.7135875,0.85542417,3
32353330978,17.507,17.293833,18.8232,18.539717,2651.4102,0,1.1571429,0.7135875,0.85542417,3
32353833920,17.2118,17.223791,19.282,18.86305,2654.0737,0,1.1571429,0.71976334,0.85474443,3
32354325562,17.63,17.229855,18.848,18.856693,2656.653,0,1.1571429,0.71976334,0.85474443,3
32354828402,16.8756,17.215826,18.947199,18.843964,2659.2812,0,1.1571429,0.7079436,0.8572594,3
32355331623,17.4824,17.210224,18.6496,18.88848,2661.9302,0,1.1571429,0.7079436,0.8572594,3
32355834786,16.9166,17.132269,19.827599,19.076576,2664.6052,0,1.1571429,0.71571374,0.8572594,3
32356338479,17.6464,17.116058,19.5176,19.346321,2667.3408,0,1.1571429,0.71571374,0.8572594,3
32356841559,17.63,17.142366,19.034,19.223778,2670.018,0,1.1571429,0.70659924,0.8572594,3
32357332313,17.277401,17.153816,19.2448,19.155827,2672.6199,0,1.1571429,0.70659924,0.8572594,3
32357835553,17.2118,17.176825,18.91,19.107742,2675.2874,0,1.1571429,0.7116641,0.8572594,3
32358338804,17.1134,17.196348,19.034,19.01372,2677.934,0,1.1571429,0.7116641,0.8572594,3
32358841812,16.9904,17.178661,19.2448,19.153755,2680.6235,0,1.1571429,0.70988035,0.85515225,3
32359341133,17.5234,17.203447,18.6124,19.069063,2683.268,0,1.1571429,0.70988035,0.85515225,3
32359844429,17.2282,17.238,18.7612,18.81306,2685.8708,0,1.1571429,0.70988035,0.85515225,3
32361844366,17.8842,17.29075,19.034,18.783583,2696.3901,0,1.1571429,0.690715,0.85542417,3
32362347567,17.1626,17.238134,19.170399,19.008177,2699.0698,0,1.1571429,0.690715,0.85542417,3
32362850778,17.343,17.262499,18.662,18.946142,2701.7175,0,1.1571429,0.71381116,0.85542417,3
32363354066,17.3348,17.29944,18.7488,18.792086,2704.3289,0,1.1571429,0.71381116,0.85542417,3
32363845252,18.0236,17.294838,19.096,18.888285,2706.913,0,1.1571429,0.70912945,0.8572594,3
32364348382,17.9334,17.299547,19.0712,18.975487,2709.5732,0,1.1571429,0.70912945,0.8572594,3
32364851647,17.6792,17.334465,18.4884,18.825977,2712.194,0,1.1571429,0.7144002,0.8572594,3
32365354872,18.1056,17.341335,18.897598,18.820953,2714.8193,0,1.1571429,0.7144002,0.8572594,3
32365857886,16.7198,17.291073,19.368801,18.861523,2717.4502,0,1.1571429,0.71354264,0.8572594,3
32366361106,17.343,17.256794,19.0588,19.102133,2720.1523,0,1.1571429,0.71354264,0.8572594,3
32366853152,17.3512,17.309769,18.4388,18.801184,2722.6943,0,1.1571429,0.70878804,0.8572594,3
32367355568,17.589,17.349562,18.8108,18.705801,2725.291,0,1.1571429,0.70878804,0.8572594,3
32367858869,17.326601,17.359428,18.7612,18.735844,2727.914,0,1.1571429,0.71490526,0.85515225,3
32368361965,17.6874,17.345966,18.6372,18.720026,2730.5293,0,1.1571429,0.71490526,0.85515225,3
32368865162,17.0806,17.34948,18.4388,18.66775,2733.1333,0,1.1571429,0.7104809,0.85515225,3
32369368789,16.9248,17.249844,19.666399,18.986269,2735.81,0,1.1571429,0.7104809,0.85515225,3
32369859752,16.9412,17.215988,19.22,19.250374,2738.468,0,1.1571429,0.7142751,0.85542417,3
32370362727,16.9822,17.20432,18.8728,19.082897,2741.1208,0,1.1571429,0.7142751,0.85542417,3
32370865198,17.6218,17.260252,18.6868,18.990683,2743.765,0,1.1571429,0.71145225,0.85542417,3
32371368461,17.22,17.26386,18.8728,18.87869,2746.392,0,1.1571429,0.71145225,0.85542417,3
32371871624,17.0478,17.207546,19.4928,19.119959,2749.0833,0,1.1571429,0.70732635,0.85542417,3
32372374756,16.4164,17.179375,18.9968,19.105442,2751.7537,0,1.1571429,0.70732635,0.85542417,3
32372877986,17.9334,17.172842,19.6168,19.195171,2754.4514,0,1.1571429,0.71795505,0.85474443,3
32373381134,16.3918,17.174076,19.7284,19.25558,2757.1438,0,1.1571429,0.71795505,0.85474443,3
32373872403,17.1462,17.107979,19.542398,19.499973,2759.8374,0,1.1571429,0.7084804,0.8572594,3
32374375554,17.1462,17.156664,18.4388,19.145424,2762.485,0,1.1571429,0.7084804,0.8572594,3
32374878718,16.7362,17.178673,18.8604,19.00665,2765.1226,0,1.1571429,0.71833503,0.8572594,3
32375382374,17.1626,17.18802,18.8852,19.052212,2767.7954,0,1.1571429,0.71833503,0.8572594,3
32375885652,17.1872,17.237925,18.9224,18.897917,2770.4197,0,1.1571429,0.71069646,0.8572594,3
32376388941,17.0806,17.235971,18.7736,18.936152,2773.0713,0,1.1571429,0.71069646,0.8572594,3
32376891508,17.1052,17.24823,18.6,18.890142,2775.705,0,1.1571429,0.71092314,0.8572594,3
32377383335,16.9248,17.223083,19.269598,18.95572,2778.2925,0,1.1571429,0.71092314,0.8572594,3
32377886306,17.0642,17.153452,19.393599,19.299814,2781.025,0,1.1571429,0.70890296,0.85515225,3
32378389025,17.4086,17.187647,18.587599,19.109015,2783.6807,0,1.1571429,0.70890296,0.85515225,3
32378892372,18.0154,17.238522,18.6,18.900715,2786.301,0,1.1571429,0.7098061,0.85515225,3
32379395574,18.0072,17.167768,19.7408,19.089811,2788.9773,0,1.1571429,0.7098061,0.85515225,3
32379898739,16.8264,17.054703,19.6292,19.50368,2791.7437,0,1.1571429,0.70891225,0.85542417,3
32380389936,17.1134,17.092295,18.934801,19.273605,2794.3562,0,1.1571429,0.70891225,0.85542417,3
32380893144,16.6706,17.029497,19.84,19.357841,2797.0613,0,1.1571429,0.7115141,0.85542417,3
32381404343,16.8182,16.994505,19.84,19.586918,2799.8687,0,1.1571429,0.7115141,0.85542417,3
32381895538,16.9166,16.976538,19.53,19.653662,2802.5593,0,1.1571429,0.71621513,0.85474443,3
32382398731,17.056,17.004238,18.947199,19.509111,2805.2798,0,1.1571429,0.71621513,0.85474443,3
32382902060,16.9494,17.074446,19.108398,19.118885,2807.91,0,1.1571429,0.71331716,0.8572594,3
32383405115,16.8182,17.062325,19.2448,19.288832,2810.6199,0,1.1571429,0.71331716,0.8572594,3
32383896394,17.2036,16.977768,20.2864,19.809036,2813.3738,0,1.1571429,0.70902264,0.8572594,3
32384399960,16.4492,16.967623,19.170399,19.796988,2816.1506,0,1.1571429,0.70902264,0.8572594,3
32384902763,17.056,17.02183,19.7532,19.732058,2818.898,0,1.1571429,0.7198955,0.8572594,3
32385405935,17.1462,17.021395,19.0836,19.637373,2821.6406,0,1.1571429,0.7198955,0.8572594,3
